The Tragically Hip,1998-08-27,https://www.youtube.com/watch?v=XOoMlm9I6kc,"Hampton Beach, New Hampshire",,Save The Planet / Twist My Arm..........................................click SHOW MORE to expand  vvv / Poets Plus
The Tragically Hip,1998-08-27,https://www.youtube.com/watch?v=XOoMlm9I6kc,"Hampton Beach, New Hampshire",,Save The Planet / Twist My Arm..........................................click SHOW MORE to expand  vvv / Poets Plus
The Tragically Hip,1998-08-28,https://www.youtube.com/watch?v=hzlxQj7aZYM,"Portland, Maine",,"Grace, Too  (w/ Grizzly Bear & Salmon Run rant) / Fireworks....................................click SHOW MORE to expand..."
The Tragically Hip,1998-10-02,https://www.youtube.com/watch?v=VmUSpl0uAbs,"Pittsburgh, Pennsylvania",,Save The Planet / Twist My Arm.............................................................click SHOW MORE to expand  vvv
The Tragically Hip,1998-10-08,https://www.youtube.com/watch?v=bZetTMUlnvs,"Rochester, New York",,"Grace, Too / Poets / Gift Shop / Vapour Trails / Bobcaygeon  (w/ (The Stampeders) Sweet City Woman tag)..."
The Tragically Hip,1998-10-21,https://www.youtube.com/watch?v=Tz9QBiUBqvk,"Scottsdale, Arizona",,"Grace, Too  (w/ San Francisco Song tag) / Poets Plus.....................................................................click..."
The Tragically Hip,1998-10-22,https://www.youtube.com/watch?v=UGTyrNGTUVE,"Tucson, Arizona",,"Save The Planet  (w/ If You're Freaked, I'm Fucked tag) / Fully Completely / Gift Shop  (w/ Just Their Mortal..."
The Tragically Hip,1998-10-31,https://www.youtube.com/watch?v=X2DH4HVydaw,"Atlanta, Georgia",,"Grace, Too  (w/ Goblin - Insomniacs Of The World Goodnight tags) / Poets Plus / Fully Completely..."
The Tragically Hip - (SBD),1998-10-31,https://www.youtube.com/watch?v=lA5klOhtg0M,Atlanta,SBD,"Grace, Too  (w/ Goblin - Insomniacs Of The World Goodnight tags) / Poets Plus / Fully Completely / Gift..."
The Tragically Hip,1998-11-02,https://www.youtube.com/watch?v=DSXQKes1T8w,"Athens, Georgia",,Save The Planet / Gift Shop  (w/ Just Their Mortal Husks tag) / Something On / The Luxury  (w/ Banana Shaker...
The Tragically Hip,1998-11-16,https://www.youtube.com/watch?v=iBMm9Dwymy4,"Winston-Salem, North Carolina",,"Grace, Too  (w/ (Simon & Garfunkel) Scarborough Fair/Canticle tag) / Save The Planet......................................click..."
The Tragically Hip,1998-11-28,https://www.youtube.com/watch?v=CXfaw7h1cao,New York City,,Fireworks / Twist My Arm / Courage (for Hugh MacLennan) / Escape Is at Hand for the Travellin'...
The Tragically Hip,1998-11-28,https://www.youtube.com/watch?v=CXfaw7h1cao,New York City,,Fireworks / Twist My Arm / Courage (for Hugh MacLennan) / Escape Is at Hand for the Travellin'...
The Tragically Hip - (FM Radio Simulcast),1998-12-01,https://www.youtube.com/watch?v=XHXkK8RtOTQ,,,Intro / Membership.........................................click SHOW MORE to expand  vvv / Thompson...
The Tragically Hip,1998-12-04,https://www.youtube.com/watch?v=92VW91_b4_w,"Hartford, Connecticut",,"Grace, Too  (w/ Songwriters' Cabal - Nothing To Worry About tags) / Poets  (w/ If You Lived Here tag) / Fully..."
The Tragically Hip,1998-12-05,https://www.youtube.com/watch?v=5KFeXwQarz4,"Boston, Massachusetts",,Fireworks / Twist My Arm  (w/(Crowded House) Into Temptation tag) / Courage (for Hugh MacLennan)...
"The Tragically Hip - December 29, (SBD)",1999,https://www.youtube.com/watch?v=9J-vaBsiBPc,Toronto,SBD,My Music At Work / Poets / Gift Shop........................................................................click SHOW MORE to expand  vvv / Putting Down
The Tragically Hip - (Part 2),1999,https://www.youtube.com/watch?v=8Q0Vj78skYk,"Mississauga, Ontario",,Nautical Disaster / Fireworks / Springtime in Vienna  (w/ 60 Seconds tag) / Little Bones / Chagrin...
The Tragically Hip - (FM Simulcast),1999,https://www.youtube.com/watch?v=RQECmEN7WSo,"Spokane, Washington",,Intro/ DJ asking dumb questions / Poets / About Bobcaygeon lyrics & video / Bobcaygeon / Gord S on...
The Tragically Hip,1999-02-05,https://www.youtube.com/watch?v=kYc8yf5e-fI,"Montreal, Quebec",,"Save The Planet / Grace, Too / Courage (for Hugh MacLennan) / Escape Is At Hand For The Travellin'..."
The Tragically Hip,1999-02-06,https://www.youtube.com/watch?v=FNfspSHURm0,"Quebec City, Quebec",,"Fireworks / Fully Completely / Grace, Too  (w/ (Beach Boys) Don't Worry Baby tag) / Thompson Girl..."
The Tragically Hip - (SBD),1999-02-11,https://www.youtube.com/watch?v=P6n8y5fNQFk,"Novi, Michigan",SBD,Intro & Fireworks / Membership / Something On / Bobcaygeon / Escape Is At Hand For The...
The Tragically Hip,1999-05-08,https://www.youtube.com/watch?v=88222wwuK8E,"Pittsburgh, Pennsylvania",,"Grace, Too  (w/ (Early) Stay - (Carl Perkins) Everybody's Trying to Be My Baby tags) / Something..."
The Tragically Hip,1999-05-18,https://www.youtube.com/watch?v=kBhYV_JN_5E,"Carrboro, North Carolina",,"Fireworks / Fully Completely..............................................click SHOW MORE to expand  vvv / Grace, Too..."
The Tragically Hip,1999-05-20,https://www.youtube.com/watch?v=N102GqWljMs,"Nashville, Tennessee",,"Grace, Too  (w/ (Early) The Bastard - Nothing To Worry About tags) / Fully Completely / Fireworks / Gift Shop..."
The Tragically Hip - (SBD),1999-07-24,https://www.youtube.com/watch?v=bzmWv9atl28,Woodstock,SBD,"Intro/Grace, Too / Fully Completely / Fireworks / Gift Shop / Springtime In Vienna / Bobcaygeon / Nautical Disaster / Poets / Courage (for Hugh MacLennan) / Ahead..."
The Tragically Hip (SBD),1999-12-31,https://www.youtube.com/watch?v=LYCHgiFVnVg,Toronto,SBD,"Poets Plus / Grace, Too / My Music At Work..........................................................click SHOW MORE to expand  vvv / Gift Shop / Putting..."
The Tragically Hip - (Part 1),2000,https://www.youtube.com/watch?v=CVE9_F9h1f0,"Rochester, New York",,"Grace, Too / My Music at Work / Escape Is at Hand for the Travellin' Man / Tiger the Lion / Fully..."
The Tragically Hip - (Part 2),2000,https://www.youtube.com/watch?v=heV2SV7d9eA,"Rochester, New York",,Courage  (for Hugh MacLennan) / Lake Fever / Poets Plus / Flamenco / Ahead by a Century
The Tragically Hip - Between Us Live 2000 SBD Compilation,2000,https://www.youtube.com/watch?v=aG90NBb7uPQ,,SBD,"Freak Turbulence  (Montreal - June 21) / Tiger The Lion  (Montreal - June 21) / Wild Mountain Honey  (Atlanta - October 12) / An Inch An Hour  (Ft Collins, Colorado..."
The Tragically Hip - 8 from SDB,2000,https://www.youtube.com/watch?v=dhBMHVQz9Qs,Sudbury,,"Let's Stay Engaged / My Music At Work / Grace, Too / Freak Turbulence / The Last Of The Unplucked Gems / Toronto #4 / Opiated / Nautical..."
The Tragically Hip,2000,https://www.youtube.com/watch?v=mF_XsK_Wq5w,San Francisco,,700ft Ceiling / Membership / Freak Turbulence / Train Overnight / Sharks
The Tragically Hip - (SBD),2000-01-01,https://www.youtube.com/watch?v=VhhZoR1vsOM,Toronto,SBD,"Intro & Grace, Too / Save The Planet / Gift Shop...................................................................click SHOW MORE to expand  vvv / Vapour Trails..."
